id,PrimaryName,SecondaryName,Date,Count,PlaceName,Latitude,Longitude,Notes,Family,FamilyName
115,nokikana,(Eurasian) Coot,7 May 2017 15.14,,,60.2141366079971,24.9923255339022,,sorsat,Sorsat
116,ruskosuohaukka,(Western) Marsh Harrier,7 May 2017 15.13,1,,60.2139059244538,24.9963668252327,,petolinnut,Petolinnut
117,pikkutikka,Lesser Spotted Woodpecker,7 May 2017 14.54,1,,60.213609037099,24.9864932787793,Naaras,tikat,Tikat
118,lapintiira,Arctic Tern,6 May 2017 17.24,2,,60.1598350713482,24.894477072465,,lokit,Lokit
119,merimetso,(Great) Cormorant,6 May 2017 17.01,3,,60.1467941310276,24.8707620245487,,joutsenet-hanhet,Joutsenet ja hanhet
120,fasaani,(Common) Pheasant,6 May 2017 16.52,,,60.1446441316833,24.8747671327678,,kanalinnut,Kanalinnut
121,puukiipijä,(Eurasian) Treecreeper,6 May 2017 16.21,2,,60.1458307727194,24.8884467996138,,tiaiset,Tiaiset ym.
122,silkkiuikku,Great Crested Grebe,6 May 2017 16.12,2,,60.1522286177785,24.8909680043075,Pesä (2-3 munaa),uikut-kuikat,Uikut ja kuikat
123,kyhmyjoutsen,Mute Swan,6 May 2017 16.11,2,,60.1523375517795,24.891009224643,Pesä,joutsenet-hanhet,Joutsenet ja hanhet
124,kivitasku,(Northern) Wheatear,6 May 2017 16.11,2,,60.1524910809037,24.8909105678195,,vastarakit-taskut-lepinkaiset,"Västäräkit, taskut ja lepinkäiset"
125,kalatiira,Common Tern,6 May 2017 15.51,,,60.1592256521797,24.8941394456447,,lokit,Lokit
126,haahka,(Common) Eider,6 May 2017 15.48,2,,60.1597385570703,24.8943830631991,Pariskunta,sorsat,Sorsat
127,merikotka,White-tailed Eagle,28 April 2017 16.50,2,,60.1669499108015,24.9397367738396,"Lensivät toimiston yli, ei täyttä varmuutta. Vaalee pää ja pyrstö, siivet näytti melkein mustilta taivasta vasten",petolinnut,Petolinnut
128,kauluskaija,Rose-ringed Parakeet,22 April 2017 16.28,,,52.357771089276,4.89756828406002,,papukaijalinnut,Papukaijalinnut
